,T62947,H64807,Class
21,-0.336,-0.914,1
52,-0.635,-1.43,-1
38,-0.958,-2.56,-1
24,0.0965,-0.588,-1
2,-0.377,-0.147,1
41,-0.648,-2.6,-1
60,-0.371,-3.15,-1
50,0.22699999999999998,-0.726,-1
35,0.008879999999999999,-1.49,-1
44,-1.08,-1.6,-1
42,-0.15,-0.24100000000000002,-1
39,0.0777,-1.77,-1
26,-0.728,-1.83,-1
55,-0.371,-1.18,-1
47,-0.892,-0.807,-1
3,-1.24,-0.17300000000000001,1
40,-0.831,-1.76,-1
27,-0.807,-1.73,-1
10,-1.49,-0.5670000000000001,1
54,-0.207,-1.03,-1
19,-2.3,-1.36,1
31,-0.784,-1.54,-1
58,-0.371,-1.85,-1
17,-1.85,-1.58,1
53,-0.0109,-0.9129999999999999,-1
51,-0.275,-1.16,-1
46,0.0867,-0.6629999999999999,-1
33,-0.723,-1.69,-1
49,0.11900000000000001,-1.57,-1
34,-0.45899999999999996,-1.17,-1
57,-0.595,-1.99,-1
13,-1.08,-0.7140000000000001,1
22,0.42200000000000004,-1.42,-1
32,-0.12,-0.978,-1
30,-0.214,-1.44,-1
36,-0.813,-1.07,-1
23,-1.05,-1.17,-1
4,-0.745,-0.42,1
14,-1.08,-1.04,1
29,-0.35,-1.28,-1
28,-0.9159999999999999,-1.91,-1
56,-0.976,-0.987,-1
